article_id,number_images,number_citations,number_headers,number_links,number_categories,number_words,number_scentens,wiener_sachtextformel,is_excellent
3990921,0,0,0,5,0,33,1,23.0,False
8316144,1,3,5,59,12,670,57,9.7,False
3733,21,85,31,525,2,8502,533,11.1,True
104514,5,165,18,203,3,15572,1185,9.7,True
6299105,0,0,0,6,0,18,1,18.1,False
4026726,0,0,0,8,0,46,1,24.0,False
6043334,11,88,12,324,1,6347,446,10.3,True
2605129,0,0,0,0,4,4,1,32.1,False
6819434,1,0,3,5,3,289,13,8.1,False
4696,4,56,17,136,11,4159,209,12.9,True
9144309,0,0,0,1,2,13,2,9.6,False
1957654,13,41,32,83,5,4359,311,9.7,True
377361,105,124,49,828,3,11659,659,11.2,True
8967163,0,0,6,27,1,169,10,13.8,False
6431189,1,7,5,29,2,467,22,12.3,False
5460141,0,3,2,13,2,73,6,10.5,False
5530602,0,14,4,34,6,421,42,8.3,False
177022,73,65,49,525,5,11055,785,10.2,True
7198091,0,0,8,8,2,71,7,9.5,False
8162,9,37,34,379,2,6261,360,11.3,True
1148897,5,146,35,208,2,6858,487,10.8,True
1390734,0,0,2,15,2,202,14,11.2,False
5309859,8,28,14,165,3,3859,352,9.7,True
638281,5,15,15,112,6,2390,160,9.0,True
5867125,2,9,4,67,11,475,35,10.4,False
4714778,1,0,2,13,2,68,5,9.6,False
772836,9,3,26,152,6,4592,255,10.6,True
611832,9,84,18,187,11,6568,408,9.9,True
54858,40,86,34,548,8,15360,1087,10.4,True
8968033,2,59,13,121,6,4708,480,10.1,True
8417873,0,0,0,1,0,8,1,23.9,False
2851368,10,45,21,292,2,3332,256,11.3,True
170080,20,60,47,298,5,8072,382,12.1,True
3340464,0,0,0,2,0,22,1,18.4,False
2185417,23,67,48,155,2,8097,523,10.4,True
2989143,0,5,3,31,3,155,11,9.6,False
77761,6,14,24,353,7,5387,329,11.1,True
6698639,7,74,23,256,0,6614,455,9.6,True
16498,5,44,19,218,17,7383,539,10.6,True
239041,9,131,29,368,25,12288,894,10.1,True
951541,1,3,4,35,15,442,54,11.0,False
4291516,1,59,25,147,6,5708,365,10.7,True
266551,7,38,17,197,6,5171,286,10.1,True
351108,0,0,0,9,0,59,1,19.9,False
3429858,0,0,0,1,0,2,1,31.8,False
12427,9,114,59,389,4,8041,538,13.5,True
8126011,0,0,2,8,1,40,1,21.6,False
6436028,0,0,1,1,2,4,1,24.0,False
7748328,0,2,3,17,8,315,25,10.4,False
667270,37,252,104,630,4,21703,1427,10.2,True
6112864,0,2,8,20,2,296,28,8.8,False
2351558,6,24,13,134,4,2269,177,11.6,True
1760342,4,2,5,23,4,345,27,10.4,False
3245454,1,2,2,15,3,141,8,12.8,False
102872,9,29,21,101,4,3971,262,10.3,True
6619229,0,4,4,21,6,312,22,13.2,False
1672542,7,6,11,57,4,1643,109,9.8,False
6393879,5,0,7,29,2,262,32,6.8,False
5266584,0,0,1,18,4,140,8,11.1,False
6356599,1,1,11,20,3,25,2,19.2,False
8390833,8,41,11,165,7,4618,295,9.3,True
6058634,1,2,8,48,1,323,19,13.8,False
7332447,0,0,0,0,3,6,1,20.6,False
931579,17,49,43,228,3,8544,516,12.7,True
2345,5,56,21,321,4,3539,283,10.8,True
5508649,0,0,0,4,0,23,1,15.5,False
2176310,6,26,20,183,5,4339,246,9.4,True
29192,29,29,41,355,4,6605,454,10.2,True
6326470,1,16,6,71,1,1649,82,12.0,False
5492236,0,0,0,0,3,3,1,25.5,False
875323,4,19,11,91,2,2408,154,11.2,True
1287795,10,35,25,216,3,8671,556,10.2,True
1837508,4,13,10,69,3,797,49,10.7,False
2996990,0,2,5,34,4,435,29,12.1,False
5092232,0,2,2,11,2,94,8,12.1,False
1558607,0,0,1,24,3,68,5,16.8,False
60169,23,63,41,600,8,13225,800,11.6,True
6255112,0,0,0,0,2,6,1,20.6,False
6649632,0,0,2,25,5,213,13,10.6,False
6064132,0,0,0,1,0,3,1,10.4,False
3099236,1,0,5,15,7,493,24,11.1,False
113337,19,117,55,532,5,13194,929,10.6,True
3177976,0,0,0,2,0,39,1,18.1,False
130218,13,41,16,346,6,5962,287,9.1,True
177704,10,45,29,118,2,4418,285,12.4,True
245,11,99,32,433,4,6436,465,11.5,True
5615324,0,0,0,2,0,25,2,6.1,False
2488001,8,6,14,57,5,1758,124,8.7,True
20460,20,104,24,292,23,9087,624,10.5,True
2230588,15,33,12,200,3,5839,353,9.2,True
608191,13,93,48,498,7,10544,753,10.4,True
4062808,0,0,0,7,2,4,1,32.1,False
5777426,4,42,17,139,3,4510,361,9.7,True
122195,13,5,29,352,1,6549,294,13.3,True
2017228,0,1,7,69,17,1018,48,10.0,False
1056165,3,3,8,38,1,787,55,11.8,False
312616,19,99,20,268,6,8080,525,11.0,True
7689010,0,0,0,7,0,53,1,22.5,False
6550879,0,0,6,28,3,820,61,12.6,False
5111270,0,2,2,11,1,136,8,9.3,False
1314580,0,0,0,13,1,197,20,10.9,False
2491825,11,20,25,208,6,8760,440,8.1,True
5662863,19,39,16,282,4,8524,500,10.7,True
2535800,17,18,23,203,17,4891,328,10.5,True
3798153,5,65,18,264,9,6204,444,10.3,True
4481018,0,0,0,4,0,23,1,7.6,False
1773877,10,8,24,141,6,3248,182,11.7,True
1652843,6,111,24,271,15,9894,999,9.3,True
4273204,4,63,10,126,7,4661,337,8.2,True
4263,1,3,30,177,3,3976,251,11.8,True
1398411,6,5,27,212,3,4515,179,12.8,True
3872528,0,1,2,15,2,118,7,10.7,False
44408,8,31,23,193,16,4934,322,9.2,True
3808930,6,88,18,143,5,8598,535,7.7,True
1563317,2,1,2,21,3,218,17,10.4,False
590625,26,24,53,414,6,7689,491,10.8,True
5915756,0,5,5,21,7,451,28,12.7,False
35352,0,1,1,6,4,75,5,10.4,False
206698,0,4,8,64,3,1090,55,12.6,True
5945311,2,18,13,240,4,2036,155,7.9,False
2312682,19,46,48,515,2,16731,730,10.7,True
497781,37,38,33,238,17,8910,657,9.6,True
5553731,0,1,4,25,5,178,14,10.0,False
5815013,5,54,15,136,8,4375,280,10.8,True
725984,16,10,18,164,6,3447,204,10.8,True
2488810,1,2,2,16,7,134,13,10.9,False
3371886,3,23,8,92,5,3298,252,10.6,True
6740689,1,9,9,38,5,579,39,11.8,False
5865307,0,1,15,21,2,401,26,8.9,False
38614,50,52,33,822,2,10921,788,9.7,True
1894290,12,8,15,140,6,4227,238,11.5,True
4593150,0,0,4,309,1,2979,23,34.2,False
4898189,0,0,3,20,8,164,17,10.7,False
7864414,1,4,11,35,2,523,41,12.2,False
4405,27,226,36,796,1,21077,1476,11.8,True
8787,82,222,127,1970,9,28867,1850,10.8,True
5506557,1,0,1,21,6,141,11,11.6,False
9365660,0,0,0,0,4,12,1,16.5,False
8197587,0,0,2,1,0,3,1,10.4,False
2950383,0,0,0,7,2,58,5,6.3,False
5829362,13,26,20,130,12,5105,364,9.0,True
6088407,8,36,16,210,23,4082,239,12.3,True
809,6,80,23,335,2,4236,278,11.4,True
1023226,1,0,3,25,1,242,11,9.9,False
11281,15,31,28,272,1,5828,424,10.9,True
704292,5,11,28,94,6,1743,137,10.5,False
925577,7,1,15,152,9,3127,191,10.5,True
3814516,0,0,5,76,5,546,26,12.0,False
5726542,0,3,1,13,4,185,7,13.3,False
779938,10,13,19,127,11,3527,250,11.0,True
127006,16,125,25,512,1,9941,731,11.4,True
5746531,1,6,7,23,4,670,41,8.3,False
29226,3,252,48,531,4,26732,2030,10.7,True
1158413,18,25,40,473,5,9044,634,10.2,True
92415,20,64,44,372,1,9391,614,10.0,True
45599,16,94,32,463,25,9186,620,9.1,True
797671,2,0,2,45,12,316,22,10.7,False
919149,2,4,11,80,1,1953,113,10.8,True
769887,0,3,6,16,3,497,43,11.0,False
1692728,0,0,2,15,8,138,9,11.6,False
188455,7,97,20,148,1,9316,785,8.9,True
962451,1,13,9,74,6,691,24,10.0,False
8225739,0,7,4,10,2,266,25,12.8,False
443699,15,95,43,428,2,9983,690,10.4,True
3840,35,243,71,978,4,22833,1138,11.1,True
4096422,0,0,2,18,2,156,19,15.4,False
1790919,19,98,27,449,3,12811,872,10.1,True
1332002,16,137,18,251,6,7615,564,8.8,True
6582442,2,1,8,41,8,468,38,9.0,False
4283533,8,89,33,261,1,8163,693,9.9,True
1987503,0,0,3,13,7,278,33,8.3,False
900456,1,5,7,34,5,384,27,11.4,False
698907,6,38,12,95,5,4798,367,11.2,True
37272,9,69,16,149,10,7350,553,10.7,True
5195495,3,46,13,89,6,3740,300,7.5,True
7072140,0,0,0,1,0,5,1,11.6,False
8534284,1,0,2,35,8,143,18,11.9,False
534150,7,39,46,290,3,7335,434,11.0,True
83952,4,17,18,154,13,3678,245,8.0,True
369122,1,0,1,44,5,236,16,14.6,False
101462,24,155,29,523,17,20049,1157,10.0,True
1795668,0,0,2,15,1,239,18,13.5,False
3679644,0,0,0,1,3,8,1,17.0,False
5380985,0,26,9,89,3,2230,146,11.1,True
8088693,0,0,0,7,0,52,1,18.6,False
163904,6,61,16,123,6,4633,374,9.8,True
6328507,0,53,13,79,5,3856,340,10.8,True
87716,22,103,41,406,11,10690,613,9.5,True
275555,6,6,14,115,1,3838,217,12.1,True
446847,0,1,4,23,6,280,18,13.0,False
1001661,12,12,32,314,1,5364,342,13.1,True
183504,45,115,85,584,2,17420,989,10.9,True
7181545,6,59,17,138,4,5730,557,7.3,True
3330635,18,54,26,206,7,7897,531,9.6,True
5288277,0,1,8,21,6,328,27,11.8,False
6357827,0,0,0,1,3,15,2,14.4,False
1481812,17,10,20,107,6,5806,301,10.6,True
1133606,10,86,19,403,5,8303,518,11.1,True
8193,15,172,63,598,5,10670,713,11.0,True
434968,9,213,18,290,3,10892,1039,10.9,True
59452,26,164,25,541,5,18153,1435,10.0,True
1890322,33,34,43,589,2,11556,734,10.7,True
8435334,0,0,0,0,4,11,1,20.6,False
327474,16,43,14,202,7,5856,416,9.8,True
3818572,24,51,22,330,3,6626,419,11.4,True
8493715,0,0,4,27,13,306,18,9.2,False
4250432,16,54,16,159,7,4345,415,9.5,True
1562727,30,42,51,525,2,9347,669,11.4,True
1386366,1,9,13,49,8,1955,132,10.7,True
5315709,10,18,15,174,9,3955,228,10.9,True
4716547,0,0,0,13,0,118,1,30.2,False
5243821,0,0,0,1,0,3,1,9.3,False
609665,2,4,10,51,5,1514,96,11.1,True
9077788,0,3,8,65,3,352,21,10.9,False
207489,3,150,47,363,3,11340,721,11.7,True
5014324,9,75,28,223,10,6165,263,11.8,True
1108,14,96,26,481,1,7565,531,10.5,True
11323,41,116,21,650,26,13992,995,10.0,True
8426404,0,0,1,9,7,95,9,8.0,False
3647257,1,1,5,30,5,322,23,10.1,False
8287738,0,3,5,15,5,373,27,11.3,False
7713470,0,1,3,15,7,251,20,9.4,False
7349134,0,0,2,17,4,138,10,9.5,False
19971,33,75,47,445,4,10459,741,10.4,True
2759690,0,0,0,4,0,34,1,16.3,False
6847921,1,0,1,11,6,111,6,10.5,False
6342799,2,4,5,26,7,814,45,10.9,False
3385,5,10,13,135,3,2865,194,10.4,True
8526363,0,0,0,1,0,3,1,31.9,False
868434,2,13,12,72,8,1347,97,9.1,False
21040,7,75,21,248,17,5550,505,7.7,True
4610,14,109,42,444,5,4799,292,13.8,True
2350368,13,52,23,192,6,3795,234,10.9,True
4808016,0,0,0,0,0,3,1,19.0,False
2160741,21,64,32,193,10,7918,459,11.8,True
6568961,0,0,1,0,1,2,1,15.6,False
7002149,1,5,3,16,6,289,22,8.1,False
100822,81,127,81,903,4,18691,1154,11.8,True
730217,9,37,18,112,7,3883,252,9.3,True
9420080,0,0,0,3,0,36,3,17.2,False
5339715,0,0,0,3,2,18,1,13.4,False
109484,7,102,47,207,4,6294,432,11.2,True
2214903,2,4,2,10,2,319,23,8.5,False
34839,5,38,22,130,2,4495,309,10.6,True
593719,5,83,11,174,6,5696,413,10.4,True
5763878,9,40,11,129,5,4358,435,8.9,True
8477833,0,0,0,0,2,2,1,31.8,False
2748678,5,31,15,169,12,5127,320,10.6,True
7841325,0,0,0,1,3,7,1,24.8,False
142787,26,230,38,830,1,22904,1714,10.3,True
14122,7,23,32,266,1,4454,266,11.7,True
2582084,0,0,2,29,7,183,18,7.3,False
1053200,7,106,15,143,7,7954,730,9.0,True
5365437,0,0,0,0,3,3,1,31.9,False
13191,14,140,29,427,11,12106,1037,10.2,True
195335,14,36,17,117,10,2950,188,10.5,True
3766699,0,0,2,47,2,173,15,15.6,False
3906816,0,0,2,1,0,3,1,10.4,False
6792702,0,1,5,13,2,388,24,10.4,False
2933069,0,0,2,3,0,3,1,10.4,False
2876861,0,0,0,0,5,18,1,11.5,False
5217487,0,8,2,19,4,227,17,10.7,False
5914678,6,17,16,50,3,1771,99,9.7,False
7012093,0,0,0,21,1,606,35,13.8,False
8044,18,50,28,602,4,6619,389,11.6,True
