article_id,number_images,number_citations,number_headers,number_links,number_categories,number_words,number_scentens,wiener_sachtextformel,is_excellent
7939462,0,0,2,5,4,64,8,9.8,False
208312,1,0,5,40,2,408,28,11.0,False
570760,0,2,11,63,16,2061,98,13.0,True
61490,15,166,33,556,14,21271,1352,10.3,True
261047,1,3,3,19,3,311,18,12.0,False
1508636,5,0,20,91,6,3570,210,11.3,True
373563,20,107,30,738,2,9960,607,12.0,True
8279972,0,0,0,3,0,23,4,24.0,False
102124,1,2,3,40,9,634,50,8.8,False
5893358,0,0,0,1,0,3,1,25.5,False
8992022,0,0,1,518,1,38,3,10.3,False
6085567,7,31,15,122,1,3117,220,9.6,True
7359492,0,12,5,35,9,476,45,9.3,False
19510,16,174,27,372,17,11909,828,9.6,True
3158615,1,1,7,21,1,398,33,8.9,False
5189496,1,4,1,16,2,76,7,11.5,False
6619934,0,2,6,20,2,351,34,10.9,False
815763,0,0,64,853,8,24960,1883,6.9,False
1299788,1,2,7,29,16,315,25,11.1,False
7165640,6,42,17,261,8,3924,329,8.4,True
8065724,0,0,0,2,0,26,1,16.8,False
684588,11,4,12,108,4,4823,269,11.4,True
48886,9,158,38,405,3,17049,1217,10.7,True
5553877,0,0,2,5,2,40,3,16.9,False
8929571,1,1,2,18,3,82,7,14.4,False
1194685,2,0,4,25,4,412,23,11.6,False
62151,6,126,15,283,10,10055,1098,9.1,True
1324684,0,0,0,24,0,159,4,19.9,False
6848392,3,0,7,54,10,940,71,9.0,False
153268,19,101,35,535,4,8324,584,10.6,True
164001,5,168,24,253,4,12714,1244,9.0,True
845844,23,30,22,325,9,5980,362,9.2,True
4595684,23,118,43,156,3,7281,560,10.2,True
710069,2,49,11,184,4,5514,361,11.5,True
31512,10,160,37,292,7,11844,730,9.3,True
4105762,0,6,4,36,3,1029,81,9.8,False
552998,15,94,21,253,5,8715,635,10.0,True
8573439,6,8,6,71,2,684,46,10.0,False
8865277,0,2,5,19,4,428,22,10.0,False
